Purple Hat,Sofi Tukker,"[Verse 1]
Purple hat, cheetah print
Dancing on the people
Rolled up at the after joint
Dancing‚ dancing on the people‚ people
Dancing on the people
I got people on the people‚ people
Dancing on the people
With the people on the people
Smoke and CO2
See me see you dancing on the people
Climb up on the booth
Hanging from the people on the people
My head hits the roof
Dancing on the ceiling on the people
I got people on the people
Dancing, dancing on the people
I got purple hat, cheetah print
Dancing on the people
Rolled up at the after joint
Dancing‚ dancing on the people, people
Dancing on the people
I got people on the people, people
Dancing on the people
With the people on the people
Smoke and CO2
See me see you dancing on the people
Climb up on the booth
Hanging from the people on the people
My head hits the roof
Dancing on the ceiling on the people
I got people on the (Oh)
Dancing on the people
I got people

[Pre-Chorus]
People
People
People‚ people
Dancing on the people
I got

[Chorus]
Everybody in the booth can
Tell myself apart from you (Dancing on the people, I got people)
Now that we're dancing people (People)
Dancing people (People)
Dancing people (People, people)
Dancing people

[Verse 2]
Well, I got purple hat, cheetah print
Dancing on the people
Rolled up at the after joint
Dancing, dancing on the people, people
Dancing on the people
I got people on the people, people
Dancing on the people
With the people on the people
Smoke and CO2
See me see you dancing on the people
Climb up on the booth
Hanging from the people on the people
My head hits the roof
Dancing on the ceiling on the people
I got people on the people
Dancing, dancing on the people
I got

[Pre-Chorus]
Dancing people
I got people
People, people
Dancing, dancing on me

[Chorus]
Everybody in the booth can
Tell myself apart from you
Now that we're dancing people
Dancing people
Dancing people
Dancing people (Dancing on the people, I got)
Dancing people
Dancing people
Dancing people
Dancing people (Dancing on the people, I got)

[Outro]
Purple hat, cheetah print
Dancing on the people
Rolled up at the after joint
Dancing, dancing on the people, people
Dancing on the people
I got people on the people, people
Dancing on the people
With the people on the (Woo)",,,
Borderline,Tame Impala,"[Intro]
Ah

[Verse 1]
Gone a little far, gone a little far this time for somethin'
How was I to know? How was I to know this high came rushing?
We're on the borderline, caught between the tides of pain and rapture
Possibly a sign, I'm gonna have the strangest night on Sunday

[Bridge]
There I go
Quite a show for a loner in L.A.​
Askin' how I managed to end up in this place
And I couldn't get away

[Verse 2]
We're on the borderline, dangerously far and all forgiven
There's gonna be a fight, gonna be a price to pay on Monday (If you and I get comfortable)
We're on the borderline (On the borderline), caught between the tides of pain and rapture
Then I saw the time (Then I saw the time), watched it speedin' by like a train, like a train

[Chorus]
Will I be known and loved? Is there one that I trust?
Starting to sober up, has it been long enough?
Will I be known and loved? Little closer, close enough
I'm a loser, loosen up, set it free, must be tough
Will I be known and loved? Is there one that I trust?
If there's room, room for doubt, as within, as without ya'
Will I be so in love? Gettin' closer, close enough
Shout out to what is done, R.I.P., here comes the sun
Here comes the sun

[Verse 3]
Gone a little far, gone a little far, this time with something
How could I have known? How was I to know this high came rushing?
I said, ""Come with me outside,"" need to clear my mind, this weight is crushing
Do you see the light, oh, coming from their eyes? Oh no
And I couldn't get away
We're on the borderline (Ooh), gets me every time, these close encounters
Just to know I can (Just to know I can), once again I am alone

[Chorus]
Will I be known and loved? Is there one that I trust?
Starting to sober up, has it been long enough?
Will I be known and loved? Little closer, close enough
I'm a loser, loosen up, set it free, must be tough (I was fine without ya)
Will I be known and loved? L.A. really messed me up
And it isn't cut and dry, conversation, well I tried (I was fine without ya)
Will I be? Stay right here, any closer, bad idea
Shout out to what is done, R.I.P., here comes the sun (I was fine without ya)
Will I be known and loved? Is there one that I trust?
Starting to sober up, has it been long enough?",,,
Butterflies,Fiji Blue,"[Verse 1]
You
You should've seen the way that you bloomed
I think I saw your face in the moon
I promise I'll be with you as soon as I find a way up (ya)

Cause you
You're farther than a kiss on the phone
THere's things about you I'll never know
I hope one day we'll be in love
When you're not far away

[Chorus]
You really make me wanna fly
Cross my heart and hope to die
Lonely you're the reason why
I can feel those butterflies
When I go to sleep at night

When I go to sleep at night
Lonely you're the reason why
I can feel those butterflies
When I go to sleep at night

[Verse 2]
I finally know the reason why
I'm never really satisfied
Waking up in paradise
Without you by my side
Imagine I walk through your doorway
Imagine skipping all the foreplay
Imagine all the stars in one place

[Chorus]
Cause you
You really make me wanna fly
Cross my heart and hope to die
Lonely you're the reason why
I can feel those butterflies
When I go to sleep at night

When I go to sleep at night
Lonely you're the reason why
I can feel those butterflies
When I go to sleep at night

You really make me wanna fly
Cross my heart and hope to die
Lonely you're the reason why
I can feel those butterflies
When I go to sleep at night

You really make me wanna fly
Cross my heart and hope to die
Lonely you're the reason why
I can feel those butterflies
When I go to sleep at night",,,
Tokyo Drifting (with Denzel Curry),Glass Animals,,,,
Rushing Back,Flume,"[Verse 1: Vera Blue]
I always let the days slip away
I should have been making up my mind
I never opened up, took it all in and
Now I’m running out of time
Sometimes I dream about going back
Keeping all the things I left behind
But now I know you can’t change the past
Way too young to know the reason why

[Chorus: Vera Blue]
And it all comes rushing back, rushing back
And it all comes rushing back, rushing back
And it all comes rushing back, rushing back
And it all comes rushing back

[Verse 2: Vera Blue]
I feel the gravity pulling me faster than it ever has before
When I was seventeen, nicotine loving
Had me rushing out the door
I try to hold it back, take a breath
Looking at old pictures on the floor
But I hear everything telling me
You don’t have the time you gotta go

[Chorus: Vera Blue]
And it all comes rushing back, rushing back
And it all comes rushing back, rushing back
And it all comes rushing back, rushing back
And it all comes rushing back, rushing back

[Bridge: Vera Blue]
All the years, all the issues
All the eyes I have looked into
The stages and the love
All comes rushing back at once

[Verse 3: Vera Blue]
I always let the days slip away
I should have been making up my mind
I never opened up, took it all in and
Now I’m running out of time
Sometimes I dream about going back
Keeping all the things I left behind
But now I know you can’t change the past
Way too young to know the reason why

[Chorus: Vera Blue]
And it all comes rushing back, rushing back
And it all comes rushing back, rushing back
And it all comes rushing back, rushing back
And it all comes rushing back

[Outro: Vera Blue]
I always
And it all comes rushing back, rushing back
And it all comes rushing back, rushing back
I always
And it all comes rushing back, rushing back
And it all comes rushing back, rushing back",,,
Nirvana,ELLIANA,"[Verse 1]
These are the times that I think about
Red lights and the feeling that I needed you
We drive around for the longest time
My heart beats at a dead end
Do you need me too?

[Pre-Chorus]
And now I'm out there running like a lonely soul on fire
Everybody's talking and I can't get through the night
Somewhere in the middle did it ever cross your mind?
I get lost in the night and I'm with you, a thousand times

[Chorus]
Oh, you love me right in Nirvana
So fast
You're the best part of a sad song
You got me all out of breath
Too fast
And I miss you when I'm going home
And I've been running in circles
Again
But I swear that I can feel the end
If I'm not in Nirvana
(?) of my head

[Verse 2]
I lost my way on the (?)
I pull up on the highway, tryna get to you
I call your phone just to hear you say
""I think I'm losing control
Do you feel it too?""

[Pre-Chorus]
And now I'm out there running like a lonely soul on fire
Everybody's talking and I can't get through the night
Somewhere in the middle did it ever cross your mind?
I get lost in the night and I'm with you, a thousand times

[Chorus]
Oh, you love me right in Nirvana
So fast
You're the best part of a sad song
You got me all out of breath
Too fast
And I miss you when I'm going home
And I've been running in circles
Again
But I swear that I can feel the end
If I'm not in Nirvana
(?) of my head

[Outro]
I get lost in my feelings
I can't help but just cave in
You don't know but you send me
Falling for you, only for you
We got lost in a daydream
You can't help but just cave in
Lose control if you mean it
Falling for you, only for you",,,
Group Therapy,Elohim,"[Verse 1]
Sun comes up, layin' in bed
Up too late, feel like I'm dead
Head is pounding like I'm drowning
Tryna hold on, tryna let go
Gettin' too high, feelin' too low
Like I'm a function of self destruction

[Chorus]
I have discovered that I need some help
Lookin' for others just like myself
I just wanna mingle with some people who are just as weird as me
I'm in the mood for group therapy

[Verse 2]
Doorbell rings, I'm not there
Out of my mind, floatin' up there
Like nasty weather I'm under pressure
Survey says I'm a wreck
But I get by gettin' high with my friends, yeah
We're all learnin' to find somethin'

[Chorus]
I'm feelin' restless, don't wanna be alone
Don't need my family to make me feel at home
I just need to mingle with some people who are just as weird as me
I'm in the mood for group therapy

[Outro]
I'm lookin' for somethin'
Lookin' for somethin', lookin' for somethin'
I'm lookin' for somethin', lookin' for somethin', lookin' for somethin'",,,
ROCKSTAR (feat. Roddy Ricch),DaBaby,"[Intro: DaBaby]
Woo, woo
I pull up (pull up)
Like
How you pull up, Baby? How you pull up? (Oh, oh, oh)
How you pull up? I pull up (Woo, Seth in the kitchen)

[Chorus: DaBaby]
Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar?
This ain't no guitar, bitch, this a Glock (Woo)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo)
And if I ain't enough, go get the chop

[Verse 1: DaBaby]
It's safe to say I earned it, ain't a nigga gave me nothin' (Yeah, yeah, yeah)
I'm ready to hop out on a nigga, get to bustin'
Know you heard me say, ""You play, you lay,"" don't make me push the button
Full of pain, dropped enough tears to fill up a fuckin' bucket
Goin' for buckets, I bought a chopper
I got a big drum, it hold a hundred, ain't goin' for nothin'
I'm ready to air it out on all these niggas, I can see 'em runnin'
Just talked to my mama, she hit me on FaceTime just to check up on me and my brother
I'm really the baby, she know that her youngest son was always guaranteed to get the money (Okay, let's go)
She know that her baby boy was always guaranteed to get the loot
She know what I do, she know 'fore I run from a nigga, I'ma pull it out and shoot (Boom)
PTSD, I'm always waking up in cold sweats like I got the flu
My daughter a G, she saw me kill a nigga in front of her before the age of two (two)
Woo, woo
I pull up like
Yeah yeah
How you pull up?

[Chorus: DaBaby & Roddy Ricch]
Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar?
This ain't no guitar, bitch, this a Glock (Woo)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo, yeah)
And if I ain't enough, go get the chop (Yeah, yeah)

[Verse 2: Roddy Ricch]
Keep a Glocky when I ride in the Suburban
'Cause the codeine had a young nigga swervin'
I got the mop, watch me wash 'em like detergent
And I'm ballin', that's why it's diamonds on my jersey
Slide on opps' side and flip the block back, yeah, yeah
My junior popped him and left him lopsided, yeah, yeah
We spin his block, got the rebound, Dennis Rodman
Fool me one time, you can't cross me again
Twelve hundred horsepower, I get lost in the wind
If he talkin' on the yard, the pen' dogs'll take his chin
Maybach SUV for my refugees
Buy blocks in the hood, put money in the streets
I was solo when the opps caught me at the gas station
Had it on me, thirty thousand, thought it was my last day
But they ain't even want no smoke
If I had to choose it, murder what she wrote-oh-oh-oh

[Chorus: DaBaby]
Let's go
Brand new Lamborghini, fuck a cop car
With the pistol on my hip like I'm a cop (Yeah, yeah, yeah)
Have you ever met a real nigga rockstar?
This ain't no guitar, bitch, this a Glock (Glock, Glock, Glock, Glock)
My Glock told me to promise you gon' squeeze me (Woo)
You better let me go the day you need me (Woo)
Soon as you up me on that nigga, get to bustin' (Woo)
And if I ain't enough, go get the chop (chop, chop, chop, chop)

[Outro]
Woo, woo
Go get the chop (chop, chop, chop, chop)
Woo, woo
Go get the chop (chop, chop, chop, chop)",,,
Needs,Verzache,"[Chorus]
Enjoy yourself, enjoy yourself
Just leave me for somebody else
Enjoy yourself, enjoy yourself
Just leave me for somebody else
Enjoy yourself, enjoy yourself
Just leave me for somebody else
Enjoy yourself, enjoy yourself
Just leave me for somebody else

Enjoy yourself, enjoy yourself
She doesn't need nobody else
Enjoy yourself, enjoy yourself
She doesn't need nobody else

[Verse]
What's your name, let me out please
You know I love you, you're my darling
Don't stop, baby don't please
For my enemies, don't unleash
And I'll be sitting on the throne now
As I'm dying
I'll be thinking about your face now
When I can't remember all days now
All days that we've been trying to forget about
How-

[Chorus]
Enjoy yourself, enjoy yourself
I can tell that you don't love nobody but yourself
Please don't put me on a shelf
I can love you, I help can you feel the way you felt

[Bridge]
I think you're wrong and you think you're right
About these letters that you said you were at his house tonight
You never get me but I understand I think it's fine
I lost your number and I don't expect you hitting mine

[Chorus/Outro]
Enjoy yourself, enjoy yourself
Just leave me for somebody else
Enjoy yourself, enjoy yourself
Just leave me for somebody else
Enjoy yourself, enjoy yourself
She doesn't need nobody else
Enjoy yourself, enjoy yourself
She doesn't need nobody else

Enjoy yourself, enjoy yourself
Just leave me for somebody else
Enjoy yourself, enjoy yourself
Just leave me for somebody else",,,
Make You Mine,PUBLIC,"[Verse 1]
Well, I will call you darlin' and everything will be okay
'Cause I know that I am yours and you are mine
Doesn't matter anyway
In the night, we'll take a walk, it's nothin' funny
Just to talk

[Chorus]
Put your hand in mine
You know that I want to be with you all the time
You know that I won't stop until I make you mine
You know that I won't stop until I make you mine
Until I make you mine

[Verse 2]
Well, I have called you darlin' and I'll say it again, again
So kiss me 'til I'm sorry, babe, that you are gone and I'm a mess
And I'll hurt you and you'll hurt me and we'll say things we can't repeat

[Chorus]
Put your hand in mine
You know that I want to be with you all the time
You know that I won't stop until I make you mine
You know that I won't stop until I make you mine
Until I make you mine

[Bridge]
You need to know
We'll take it slow
I miss you so
We'll take it slow
It's hard to feel you slipping (You need to know)
Through my fingers are so numb (We'll take it slow)
And how was I supposed to know (I miss you so)
That you were not the one?

[Chorus]
Put your hand in mine
You know that I want to be with you all the time
You know that I won't stop until I make you mine
You know that I won't stop until I make you mine
Until I make you mine
Put your hand in mine
You know that I want to be with you all the time
Oh darlin', darlin', baby, you're so very fine
You know that I won't stop until I make you mine
Until I make you—

[Outro]
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la
La-la-la-la-la-la-la
La-la-la-la-la",,,
